,1B Básico: Capítulo N°1: Números hasta 10,1B Básico: Capítulo N°2: Componer y descomponer números hasta 10,1B Básico: Capítulo N°3: Números ordinales,1B Básico: Capítulo N°4: Adiciones hasta 10,1B Básico: Capítulo N°5: Sustracciones hasta 10,1B Básico: Capítulo N°6: Formas,1B Básico: Capítulo N°7: Números mayores a 10,1B Básico: Capítulo N°8: Patrones,1B Básico: Capítulo N°9: Espacio,1B Básico: Capítulo N°10: Adiciones hasta 20,1B Básico: Capítulo N°11: Sustracciones hasta 20,1B Básico: Capítulo N°12: Problemas de adiciones y sustracciones,1B Básico: Capítulo N°13: Datos y pictogramas,1B Básico: Capítulo N°14: Comparando tamaños,1B Básico: Capítulo N°15: Creando figuras,2B Básico: Capítulo N°1: Números hasta 100,2B Básico: Capítulo N°2: Pensando cómo calcular,2B Básico: Capítulo N°3: Adición en forma vertical,2B Básico: Capítulo N°4: Sustracción en forma vertical,2B Básico: Capítulo N°5: Longitud,2B Básico: Capítulo N°6: Tablas y gráficos,2B Básico: Capítulo N°7: Igualdad y desigualdad,2B Básico: Capítulo N°8: Adiciones y sustracciones,2B Básico: Capítulo N°9: Adiciones y sustracciones hasta 20,2B Básico: Capítulo N°10: Figuras geométricas,2B Básico: Capítulo N°11: Patrones,2B Básico: Capítulo N°12: Multiplicar,2B Básico: Capítulo N°13: Tablas de multiplicar,2B Básico: Capítulo N°14: Cuerpos,3B Básico: Capítulo N°1: Números hasta 1000,3B Básico: Capítulo N°2: Adición en forma vertical,3B Básico: Capítulo N°3: Sustracción en forma vertical,3B Básico: Capítulo N°4: Patrones numéricos,3B Básico: Capítulo N°5: Tiempo,3B Básico: Capítulo N°6: Tablas de multiplicar,3B Básico: Capítulo N°7: Multiplicación,3B Básico: Capítulo N°8: División,3B Básico: Capítulo N°9: Localización de objetos,3B Básico: Capítulo N°10: Figuras y cuerpos geométricos,3B Básico: Capítulo N°11: Perímetro,3B Básico: Capítulo N°12: Triángulos,3B Básico: Capítulo N°13: Representando datos,3B Básico: Capítulo N°14: Fracciones,3B Básico: Capítulo N°15: Masa,4B Básico: Capítulo N°1: Números hasta 10000,4B Básico: Capítulo N°2: Adiciones y sustracciones hasta 1000,4B Básico: Capítulo N°3: Reglas de la multiplicación,4B Básico: Capítulo N°4: Pensando cómo calcular,4B Básico: Capítulo N°5: Longitud,4B Básico: Capítulo N°6: Multiplicación,4B Básico: Capítulo N°7: Tiempo,4B Básico: Capítulo N°8: División,4B Básico: Capítulo N°9: Área,4B Básico: Capítulo N°10: Ángulos,4B Básico: Capítulo N°11: Patrones,4B Básico: Capítulo N°12: División,4B Básico: Capítulo N°13: Volumen,4B Básico: Capítulo N°14: Simetría,4B Básico: Capítulo N°15: Números decimales,4B Básico: Capítulo N°16: Datos,4B Básico: Capítulo N°17: Fracciones,4B Básico: Capítulo N°18: Ecuaciones e inecuaciones,4B Básico: Capítulo N°19: Transformaciones isométricas,4B Básico: Capítulo N°20: Azar,4B Básico: Capítulo N°21: Vistas,5B Básico: Capítulo N°1: Números grandes,5B Básico: Capítulo N°2: Multiplicación,5B Básico: Capítulo N°3: Haciendo cintas,5B Básico: Capítulo N°4: Longitud,5B Básico: Capítulo N°5: División,5B Básico: Capítulo N°6: Números decimales,5B Básico: Capítulo N°7: Patrones,5B Básico: Capítulo N°8: Fracciones,5B Básico: Capítulo N°9: Datos,5B Básico: Capítulo N°10: Paralelismo y perpendicularidad en figuras y cuerpos geométricos,5B Básico: Capítulo N°11: Explorando posibilidades,5B Básico: Capítulo N°12: Operatoria combinada,5B Básico: Capítulo N°13: Media,5B Básico: Capítulo N°14: Congruencia,5B Básico: Capítulo N°15: Ecuaciones e inecuaciones,5B Básico: Capítulo N°16: Adición y sustracción de fracciones,5B Básico: Capítulo N°17: Área de cuadriláteros y triángulos,6B Básico: Capítulo N°1: Operatoria combinada,6B Básico: Capítulo N°2: Pensando cómo calcular,6B Básico: Capítulo N°3: Ángulos,6B Básico: Capítulo N°4: Multiplicación y división de decimales por un número natural,6B Básico: Capítulo N°5: Área de cubos y paralelepípedos,6B Básico: Capítulo N°6: Ángulos en triángulos y cuadríáteros,6B Básico: Capítulo N°7: Múltiplos y divisores,6B Básico: Capítulo N°8: Multiplicación de números decimales,6B Básico: Capítulo N°9: División de números decimales,6B Básico: Capítulo N°10: Volumen,6B Básico: Capítulo N°11: Fracciones y números mixtos,6B Básico: Capítulo N°12: Operatoria con números decimales y fracciones,"6B Básico: Capítulo N°13: Expresiones algebraicas, patrones y ecuaciones",6B Básico: Capítulo N°14: Razones,6B Básico: Capítulo N°15: Porcentajes,6B Básico: Capítulo N°16: Datos,6B Básico: Capítulo N°17: Experimentos aleatorios
1B Básico: Capítulo N°11: Sustracciones hasta 20,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B Básico: Capítulo N°12: Problemas de adiciones y sustracciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B Básico: Capítulo N°13: Datos y pictogramas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B Básico: Capítulo N°14: Comparando tamaños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B Básico: Capítulo N°15: Creando figuras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B Básico: Capítulo N°1: Números hasta 100,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2B Básico: Capítulo N°2: Pensando cómo calcular,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B Básico: Capítulo N°3: Adición en forma vertical,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
2B Básico: Capítulo N°4: Sustracción en forma vertical,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
2B Básico: Capítulo N°5: Longitud,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2B Básico: Capítulo N°6: Tablas y gráficos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B Básico: Capítulo N°7: Igualdad y desigualdad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B Básico: Capítulo N°8: Adiciones y sustracciones,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B Básico: Capítulo N°9: Adiciones y sustracciones hasta 20,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B Básico: Capítulo N°10: Figuras geométricas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B Básico: Capítulo N°11: Patrones,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2B Básico: Capítulo N°12: Multiplicar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2B Básico: Capítulo N°13: Tablas de multiplicar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B Básico: Capítulo N°14: Cuerpos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°1: Números hasta 1000,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°2: Adición en forma vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°3: Sustracción en forma vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°4: Patrones numéricos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°5: Tiempo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°6: Tablas de multiplicar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°7: Multiplicación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°8: División,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3B Básico: Capítulo N°9: Localización de objetos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°10: Figuras y cuerpos geométricos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°11: Perímetro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Básico: Capítulo N°12: Triángulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
